date_created,contacts_n,contacts_n_1,contacts_n_2,contacts_n_3,contacts_n_4,contacts_n_5,contacts_n_6,contacts_n_7,new_type,new_market
04/02/2022,199,21,6,11,7,14,5,6,type_5,market_1
30/01/2022,19,2,0,2,1,0,0,0,type_1,market_1
14/02/2022,29,0,2,2,0,1,0,1,type_1,market_1
16/01/2022,120,6,6,5,4,7,4,null,type_2,market_1
03/02/2022,182,27,13,null,14,4,3,2,type_5,market_1
08/03/2022,3,null,null,null,null,null,null,1,type_4,market_1
05/03/2022,2,1,null,1,null,null,null,null,type_4,market_1
01/02/2022,262,14,8,7,3,2,3,8,type_2,market_1
04/01/2022,15,2,3,1,null,null,1,2,type_3,market_1
10/02/2022,258,11,10,4,7,7,7,5,type_2,market_1
11/01/2022,263,28,9,13,8,5,12,8,type_5,market_1
22/01/2022,6,null,null,1,3,2,null,1,type_3,market_1
02/02/2022,2,null,null,null,null,null,null,null,type_4,market_1
26/03/2022,206,24,11,20,11,7,5,7,type_5,market_1
13/02/2022,26,0,0,0,1,0,0,0,type_1,market_1
10/01/2022,44,3,1,1,2,0,4,0,type_1,market_1
14/03/2022,23,4,5,1,0,0,0,3,type_1,market_1
26/02/2022,18,2,1,1,0,3,0,0,type_1,market_1
10/02/2022,21,null,1,null,null,1,2,1,type_3,market_1
17/02/2022,9,3,null,1,2,null,null,null,type_3,market_1
30/01/2022,133,12,6,10,5,8,4,3,type_5,market_1
04/01/2022,44,4,4,3,0,1,3,2,type_1,market_1
05/01/2022,4,null,null,null,null,null,null,null,type_4,market_1
21/03/2022,211,29,27,9,13,9,11,10,type_5,market_1
29/01/2022,130,5,10,5,10,8,3,6,type_2,market_1
11/02/2022,37,0,0,1,0,2,0,0,type_1,market_1
20/01/2022,22,2,6,3,1,0,0,0,type_1,market_1
22/03/2022,503,23,25,13,11,3,18,14,type_2,market_1
18/03/2022,19,2,1,4,null,2,2,null,type_3,market_1
09/03/2022,306,19,12,8,4,7,7,9,type_2,market_1
04/02/2022,24,1,0,0,2,2,0,4,type_1,market_1
14/01/2022,5,null,null,null,null,null,null,null,type_4,market_1
08/01/2022,112,5,8,4,3,6,4,5,type_2,market_1
15/01/2022,32,3,2,0,1,2,0,0,type_1,market_1
17/02/2022,157,10,3,6,3,4,5,8,type_5,market_1
05/01/2022,17,3,1,null,1,null,1,null,type_3,market_1
10/01/2022,240,7,8,13,7,2,4,2,type_2,market_1
13/03/2022,145,21,8,7,2,5,7,5,type_5,market_1
27/01/2022,23,4,1,1,1,0,0,0,type_1,market_1
17/03/2022,32,3,1,0,0,0,0,1,type_1,market_1
19/02/2022,8,3,1,2,null,1,null,null,type_3,market_1
26/01/2022,21,2,2,1,4,4,null,1,type_3,market_1
